gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	NR_135125.2	transcript variant 4	1995					
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	NM_005688.4	transcript variant 1	5790	NM_005688.4:111-4424	NP_005679.2	isoform 1	1437	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	NM_001320032.2	transcript variant 3	5905	NM_001320032.2:1642-4539	NP_001306961.1	isoform 3	965	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_005247059.6	transcript variant X1	6269	XM_005247059.6:590-4903	XP_005247116.1	isoform X1	1437	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_011512314.3	transcript variant X2	6309	XM_011512314.3:630-4943	XP_011510616.1	isoform X1	1437	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_047447098.1	transcript variant X3	7976	XM_047447098.1:2297-6610	XP_047303054.1	isoform X1	1437	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_011512315.2	transcript variant X4	4466	XM_011512315.2:111-4205	XP_011510617.1	isoform X2	1364	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	NM_001023587.3	transcript variant 2	1918	NM_001023587.3:111-737	NP_001018881.1	isoform 2	208	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_017005493.2	transcript variant X5	2327	XM_017005493.2:111-737	XP_016860982.1	isoform X3	208	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_047447100.1	transcript variant X7	2806	XM_047447100.1:590-1216	XP_047303056.1	isoform X3	208	ATP-binding cassette sub-family C member 5
10057	ABCC5	ATP binding cassette subfamily C member 5	Homo sapiens	human	9606	NC_000003.12:183919934-184017884;NC_060927.1:186729643-186827384	-;-	chr 3	PROTEIN_CODING	XM_047447099.1	transcript variant X6	2353	XM_047447099.1:137-763	XP_047303055.1	isoform X3	208	ATP-binding cassette sub-family C member 5
