gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001354666.3	transcript variant 6	2017	NM_001354666.3:391-1818	NP_001341595.2	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_138712.5	transcript variant 1	1856	NM_138712.5:230-1657	NP_619726.3	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_005037.7	transcript variant 4	1782	NM_005037.7:156-1583	NP_005028.5	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374261.3	transcript variant 11	1395	NM_001374261.3:220-966	NP_001361190.2	isoform 3	248	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001354669.2	transcript variant 9	1646	NM_001354669.2:647-1447	NP_001341598.1	isoform 5	266	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001354667.3	transcript variant 7	1710	NM_001354667.3:84-1511	NP_001341596.2	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374262.3	transcript variant 12	1411	NM_001374262.3:236-982	NP_001361191.2	isoform 3	248	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_138711.6	transcript variant 3	1774	NM_138711.6:148-1575	NP_619725.3	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001330615.4	transcript variant 5	1323	NM_001330615.4:148-894	NP_001317544.2	isoform 3	248	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374266.1	transcript variant 16	1241	NM_001374266.1:142-828	NP_001361195.1	isoform 8	228	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001354670.2	transcript variant 10	5220	NM_001354670.2:142-942	NP_001341599.1	isoform 6	266	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374263.2	transcript variant 13	1792	NM_001374263.2:166-1593	NP_001361192.2	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374264.2	transcript variant 14	1771	NM_001374264.2:145-1572	NP_001361193.2	isoform 1	475	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_015869.5	transcript variant 2	1893	NM_015869.5:177-1694	NP_056953.2	isoform 2	505	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001374265.1	transcript variant 15	1442	NM_001374265.1:177-1013	NP_001361194.1	isoform 7	278	peroxisome proliferator-activated receptor gamma
5468	PPARG	peroxisome proliferator activated receptor gamma	Homo sapiens	human	9606	NC_000003.12:12287368-12434344;NC_060927.1:12285564-12432191	+;+	chr 3	PROTEIN_CODING	NM_001354668.2	transcript variant 8	5339	NM_001354668.2:177-1061	NP_001341597.1	isoform 4	294	peroxisome proliferator-activated receptor gamma
